,Influencers,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
288,realDonaldTrump,Mon Jun 25 16:58:59 +0000 2018,RT @EricTrump: Record High Economic Optimism: 51% of people think the the economy is good or excellent - this is the highest number @CNBC h…,0.886,0.363,0.0,0.637,12
289,realDonaldTrump,Mon Jun 25 16:58:53 +0000 2018,"RT @TrumpGolf: Congratulations to our dear friend and @TrumpCharlotte member, @ScottMcCarron, on his incredible win at the @AmFamChamp this…",0.926,0.474,0.0,0.526,11
290,realDonaldTrump,Mon Jun 25 14:39:20 +0000 2018,RT @marcorubio: Trump haters still haven’t realized how much they help him with their condescension of those who either voted for him or do…,-0.128,0.097,0.115,0.789,10
291,realDonaldTrump,Mon Jun 25 14:36:39 +0000 2018,"Will be heading to one of my favorite places, South Carolina, to fight for one of my original “fighters,” Governor… https://t.co/WUmWQiimJq",0.4019,0.205,0.1,0.695,9
292,realDonaldTrump,Mon Jun 25 12:54:25 +0000 2018,"....If this is done, illegal immigration will be stopped in it’s tracks - and at very little, by comparison, cost.… https://t.co/HDii4VkUNc",-0.6705,0.0,0.234,0.766,8
293,realDonaldTrump,Mon Jun 25 12:43:00 +0000 2018,"Hiring manythousands of judges, and going through a long and complicated legal process, is not the way to go - will… https://t.co/try3EcJSAJ",0.128,0.073,0.0,0.927,7
294,realDonaldTrump,Mon Jun 25 12:36:29 +0000 2018,Such a difference in the media coverage of the same immigration policies between the Obama Administration and ours.… https://t.co/SIv7btegSk,0.0,0.0,0.0,1.0,6
295,realDonaldTrump,Mon Jun 25 12:02:21 +0000 2018,"I have tried to stay uninvolved with the Department of Justice and FBI (although I do not legally have to), because… https://t.co/rBebc0GHdb",-0.0248,0.137,0.181,0.683,5
296,realDonaldTrump,Mon Jun 25 11:41:25 +0000 2018,"The Red Hen Restaurant should focus more on cleaning its filthy canopies, doors and windows (badly needs a paint jo… https://t.co/CObp1kkDlk",0.0,0.0,0.0,1.0,4
297,realDonaldTrump,Mon Jun 25 11:28:48 +0000 2018,Former Attorney General Michael Mukasey said that President Trump is probably correct that there was surveillance o… https://t.co/O5DN6DKreR,0.0,0.0,0.0,1.0,3
298,realDonaldTrump,Mon Jun 25 01:08:19 +0000 2018,".@RepClayHiggins has been a great help to me on Cutting Taxes, creating great new healthcare programs at low cost,… https://t.co/8Y4VAfVZK3",0.8885,0.441,0.121,0.438,2
299,realDonaldTrump,Mon Jun 25 00:08:51 +0000 2018,"House Republicans could easily pass a Bill on Strong Border Security but remember, it still has to pass in the Sena… https://t.co/1tJeUrJyV5",0.5499,0.236,0.0,0.764,1
300,justinbieber,Mon Jun 18 22:40:15 +0000 2018,:) https://t.co/g8tJx9T4ft,0.4588,0.75,0.0,0.25,100
301,justinbieber,Tue Jun 05 17:46:14 +0000 2018,#cupidmovie https://t.co/11sV1zrpYa,0.0,0.0,0.0,1.0,99
302,justinbieber,Tue Jun 05 17:45:45 +0000 2018,RT @DEADLINE: Justin Bieber Cast As Voice Talent In Animated Film About Cupid From Mythos Studios https://t.co/DMbcNYyBGx https://t.co/Q9M5…,0.4215,0.141,0.0,0.859,98
303,justinbieber,Tue May 22 13:15:49 +0000 2018,We will never let go of hope. #OneLoveManchester https://t.co/mWxXHTIwB3,0.4404,0.266,0.0,0.734,97
304,justinbieber,Tue May 22 13:14:46 +0000 2018,RT @scooterbraun: Never forgotten. Forever honored. https://t.co/b5bIqxyss6,-0.3412,0.171,0.315,0.513,96
305,justinbieber,Sat May 19 00:17:13 +0000 2018,Praying for Santa Fe,0.3612,0.455,0.0,0.545,95
306,justinbieber,Tue May 15 00:55:21 +0000 2018,RT @PopCrave: .@justinbieber has surpassed 18 BILLION views across all official channels on YouTube. He is the most viewed artist in HISTOR…,0.0,0.0,0.0,1.0,94
307,justinbieber,Mon May 14 21:39:13 +0000 2018,New game... don’t fall https://t.co/RxZKdQZCTT https://t.co/5kEROkd7Dt,0.0,0.0,0.0,1.0,93
308,justinbieber,Wed May 02 04:50:30 +0000 2018,Proud of my brother @PostMalone on his new album,0.4767,0.279,0.0,0.721,92
309,justinbieber,Tue May 01 03:28:24 +0000 2018,Supporting my buddy Adam https://t.co/apWVp0GXDd,0.4404,0.42,0.0,0.58,91
310,justinbieber,Tue Apr 10 18:49:07 +0000 2018,RT @poobear: Thanks for this @HannahStocking! HBD! https://t.co/7DGUO5xNkg,0.5399,0.332,0.0,0.668,90
311,justinbieber,Fri Apr 06 06:17:25 +0000 2018,"#Hard2FaceReality @poobear @jayelectronica 
https://t.co/IXMbZOFNiR https://t.co/BynBGhqE4n",0.0,0.0,0.0,1.0,89
312,justinbieber,Fri Apr 06 06:04:23 +0000 2018,Congrats https://t.co/odYNPq5yIc,0.5267,0.773,0.0,0.227,88
313,justinbieber,Thu Apr 05 16:44:21 +0000 2018,"RT @StevieWonder: On April 4th, 1968 at 7:05 p.m. central time, Dr. King’s life was cut tragically short. 50 years later a need for his dre…",-0.7003,0.0,0.201,0.799,87
314,justinbieber,Tue Mar 20 16:20:15 +0000 2018,Grateful for great friends,0.8807,0.911,0.0,0.089,86
315,justinbieber,Tue Mar 20 16:19:29 +0000 2018,Proud of these kids https://t.co/M796VNgWWV,0.4767,0.437,0.0,0.563,85
316,justinbieber,Tue Mar 20 16:17:42 +0000 2018,This is great https://t.co/53KZ5720Tw,0.6249,0.577,0.0,0.423,84
317,justinbieber,Fri Mar 02 04:04:27 +0000 2018,#24,0.0,0.0,0.0,1.0,83
318,justinbieber,Fri Mar 02 04:04:14 +0000 2018,RT @AMarch4OurLives: Sign up and spread the word! Every name matters. #MarchForOurLives https://t.co/j2PTXghy2j https://t.co/CiFXKVY1Sz,0.1007,0.097,0.0,0.903,82
319,justinbieber,Sun Feb 18 16:43:13 +0000 2018,Cameron good talking to you last night. All of your bravery is amazing. I stand with you guys. #march24… https://t.co/FnSUpgJFgx,0.872,0.382,0.0,0.618,81
